Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	112.13	67.54	112.13	67.54
8800	114.97	63.92	114.97	63.92
7200	112.92	61.84	112.92	61.84
6000	110.52	60.89	110.52	60.89
5200	108.73	60.5	108.73	60.5
4400	105.79	60.48	105.79	60.48
3600	100.86	59.81	100.86	59.81
3000	94.48	60.03	94.48	60.03
2600	89.4	59.78	89.4	59.78
2200	85.59	60.99	85.59	60.99
1800	53.9	60.99	53.9	60.99
1500	70.73	61.64	70.73	61.64
1300	66.7	62.05	66.7	62.05
1100	65.47	63.38	65.47	63.38
900	60.22	64.25	60.22	64.25
780	59.85	64.89	59.85	64.89
640	54.7	65.49	54.7	65.49
530	52.14	66.06	52.14	66.06
460	48.55	66.56	48.55	66.56
390	44.35	67.18	44.35	67.18
320	39.65	67.89	39.65	67.89
265	36.57	68.35	36.57	68.35
229	32.97	68.66	32.97	68.66
194	29.55	68.96	29.55	68.96
159	26.48	69.06	26.48	69.06
132	23.21	68.92	23.21	68.92
115	21.02	68.65	21.02	68.65
97	18.39	67.85	18.39	67.85
79	15.9	66.83	15.9	66.83
66	13.12	65.32	13.12	65.32
57	13.86	63.68	13.86	63.68
49	11.85	61.81	11.85	61.81
40	11.45	59.45	11.45	59.45
33	10.73	57.09	10.73	57.09
27.5	10.43	54.86	10.43	54.86
22.5	10.11	52.27	10.11	52.27
18.8	10.19	50.82	10.19	50.82
16.2	10.04	49.54	10.04	49.54
13.7	10.31	48.51	10.31	48.51
11.2	10.21	47.94	10.21	47.94
9.4	10.03	47.63	10.03	47.63
8.1	10.37	47.19	10.37	47.19
6.9	10.07	47.23	10.07	47.23
5.6	8.85	47.22	8.85	47.22
4.7	7.65	47.92	7.65	47.92
4.1	6.8	46.4	6.8	46.4
3.4	6.87	46.69	6.87	46.69
2.81	6.15	45.8	6.15	45.8
2.34	5.93	45.42	5.93	45.42
2.03	6.73	43.93	6.73	43.93
1.72	6.28	45.78	6.28	45.78
1.41	5.39	42.42	5.39	42.42
1.17	5.02	46.41	5.02	46.41
1.02	4.91	43.05	4.91	43.05
0.86	4.37	43.92	4.37	43.92
0.7	4.25	43.12	4.25	43.12
0.59	3.13	39.61	3.13	39.61
0.51	3.81	43.58	3.81	43.58
0.43	2.4	49.67	2.4	49.67
0.35	1.49	33.31	1.49	33.31
