Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	27.54	48.33	27.54	48.33
8800	14.71	51.3	14.71	51.3
7200	24.88	53.52	24.88	53.52
6000	23.55	51.07	23.55	51.07
5200	20.26	52.07	20.26	52.07
4400	0.28	121.67	0.28	121.67
3600	0.5	145.89	0.5	145.89
3000	1.04	132.33	1.04	132.33
2600	0.34	115.77	0.34	115.77
2200	0.23	64.78	0.23	64.78
1800	0.89	56.36	0.89	56.36
1500	0.81	63.97	0.81	63.97
1300	1.36	40.03	1.36	40.03
1100	1.06	66.5	1.06	66.5
900	0.33	208.98	0.33	208.98
780	1.25	69.71	1.25	69.71
640	1.72	64.02	1.72	64.02
530	2.2	58.78	2.2	58.78
460	7.68	56.29	7.68	56.29
390	10.44	58.53	10.44	58.53
320	12.1	57.46	12.1	57.46
265	12.08	58.27	12.08	58.27
229	11.7	58.36	11.7	58.36
194	11.03	57.44	11.03	57.44
159	10.47	57.29	10.47	57.29
132	9.86	56.74	9.86	56.74
115	9.39	55.77	9.39	55.77
97	8.66	54.78	8.66	54.78
79	8.11	53.85	8.11	53.85
66	6.39	52.56	6.39	52.56
57	6.35	50.9	6.35	50.9
49	7.12	49.96	7.12	49.96
40	7.53	48.11	7.53	48.11
33	7.61	47.81	7.61	47.81
27.5	7.65	46.67	7.65	46.67
22.5	7.55	45.65	7.55	45.65
18.8	7.54	45.37	7.54	45.37
16.2	7.28	44.61	7.28	44.61
13.7	7.87	45.06	7.87	45.06
11.2	6.79	44.47	6.79	44.47
9.4	7.03	44.13	7.03	44.13
8.1	7.64	45	7.64	45
6.9	7.02	45.79	7.02	45.79
5.6	6.61	42.91	6.61	42.91
4.7	5.87	42.89	5.87	42.89
4.1	5.47	43.87	5.47	43.87
3.4	5.32	43.39	5.32	43.39
2.81	6.06	44.4	6.06	44.4
2.34	1.1	43.66	1.1	43.66
2.03	7.71	49.36	7.71	49.36
1.72	6.77	37.38	6.77	37.38
1.41	1.59	45.85	1.59	45.85
1.17	1.2	34.3	1.2	34.3
1.02	2.18	40.26	2.18	40.26
0.86	1.13	44.16	1.13	44.16
0.7	1.82	44.95	1.82	44.95
0.59	1.01	50.78	1.01	50.78
0.51	0.53	47.3	0.53	47.3
0.43	0.37	45.18	0.37	45.18
0.35	0.11	19.94	0.11	19.94
