Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	87.2	68.04	87.2	68.04
8800	96.45	64.12	96.45	64.12
7200	36.26	59.62	36.26	59.62
6000	15.17	59.18	15.17	59.18
5200	9.58	59.59	9.58	59.59
4400	18.34	59.04	18.34	59.04
3600	0.88	56.31	0.88	56.31
3000	4.57	59.06	4.57	59.06
2600	4.07	56.77	4.07	56.77
2200	5.1	56.77	5.1	56.77
1800	0.43	50.15	0.43	50.15
1500	4.01	46.18	4.01	46.18
1300	14.25	31.52	14.25	31.52
1100	9.61	35.56	9.61	35.56
900	11.44	34.61	11.44	34.61
780	5.66	31.72	5.66	31.72
640	12.4	37.03	12.4	37.03
530	29.73	52.12	29.73	52.12
460	39.44	46.52	39.44	46.52
390	33.85	50.09	33.85	50.09
320	49.06	52.63	49.06	52.63
265	49.62	53.02	49.62	53.02
229	50.46	52.63	50.46	52.63
194	49.86	52.12	49.86	52.12
159	44.99	51.64	44.99	51.64
132	42.85	50.84	42.85	50.84
115	47.4	49.81	47.4	49.81
97	45.56	48.86	45.56	48.86
79	46.36	47.97	46.36	47.97
66	45.09	45.92	45.09	45.92
57	45.93	45.55	45.93	45.55
49	43.64	44.54	43.64	44.54
40	46.14	43.39	46.14	43.39
33	45.29	43.03	45.29	43.03
27.5	47.21	42.51	47.21	42.51
22.5	47.59	41.85	47.59	41.85
18.8	49.08	41.57	49.08	41.57
16.2	48.78	41.51	48.78	41.51
13.7	52.13	42.05	52.13	42.05
11.2	45.04	41.66	45.04	41.66
9.4	45.79	42.22	45.79	42.22
8.1	51.15	43.02	51.15	43.02
6.9	42.63	43.03	42.63	43.03
5.6	31.38	43.53	31.38	43.53
4.7	20.73	45.07	20.73	45.07
4.1	18.85	44.09	18.85	44.09
3.4	11.91	45.26	11.91	45.26
2.81	10.55	45.97	10.55	45.97
2.34	7.93	41.87	7.93	41.87
2.03	5.19	54.83	5.19	54.83
1.72	5.39	39.59	5.39	39.59
1.41	5.83	44.84	5.83	44.84
1.17	3.19	52.48	3.19	52.48
1.02	0.26	70.71	0.26	70.71
0.86	1.49	81.03	1.49	81.03
0.7	1.21	45.32	1.21	45.32
0.59	0.27	359.17	0.27	359.17
0.51	0.4	29.94	0.4	29.94
0.43	1.39	48.77	1.39	48.77
0.35	0.03	38.91	0.03	38.91
