Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	217.76	70.6	217.76	70.6
8800	218.48	68.25	218.48	68.25
7200	212.3	68.54	212.3	68.54
6000	201.51	67.81	201.51	67.81
5200	170.55	64.89	170.55	64.89
4400	151.02	69.44	151.02	69.44
3600	21.04	62.06	21.04	62.06
3000	32.78	69.89	32.78	69.89
2600	23.44	62.06	23.44	62.06
2200	25.28	59.18	25.28	59.18
1800	12.16	45.49	12.16	45.49
1500	4.59	66.9	4.59	66.9
1300	11.39	105.78	11.39	105.78
1100	26.66	107.7	26.66	107.7
900	104.62	90.1	104.62	90.1
780	57.41	78.68	57.41	78.68
640	75.12	72.58	75.12	72.58
530	89.8	71.83	89.8	71.83
460	76.23	70.12	76.23	70.12
390	63.66	68.45	63.66	68.45
320	53.94	68.09	53.94	68.09
265	47.7	68.05	47.7	68.05
229	42.81	68.99	42.81	68.99
194	37.65	70.02	37.65	70.02
159	32.74	70.35	32.74	70.35
132	27.51	70.75	27.51	70.75
115	24.93	71.31	24.93	71.31
97	22.37	70.87	22.37	70.87
79	19.78	70.58	19.78	70.58
66	16.77	69.51	16.77	69.51
57	16.38	68.86	16.38	68.86
49	13.96	66.58	13.96	66.58
40	12.94	64.96	12.94	64.96
33	11.54	63.28	11.54	63.28
27.5	10.95	60.68	10.95	60.68
22.5	9.83	57.45	9.83	57.45
18.8	10.04	56.49	10.04	56.49
16.2	9.36	53.69	9.36	53.69
13.7	9.76	52.26	9.76	52.26
11.2	9.43	50.89	9.43	50.89
9.4	9.18	49.51	9.18	49.51
8.1	9.48	48.89	9.48	48.89
6.9	9.36	49.11	9.36	49.11
5.6	8.61	48.61	8.61	48.61
4.7	8.35	52.38	8.35	52.38
4.1	6.91	45.95	6.91	45.95
3.4	6.45	46.74	6.45	46.74
2.81	7.29	44.55	7.29	44.55
2.34	7.05	53.47	7.05	53.47
2.03	8.63	39.4	8.63	39.4
1.72	4.03	54.47	4.03	54.47
1.41	4.56	43.4	4.56	43.4
1.17	2.69	27.47	2.69	27.47
1.02	2.06	46.81	2.06	46.81
0.86	2.5	39.77	2.5	39.77
0.7	0.05	17.09	0.05	17.09
0.59	0.5	66.6	0.5	66.6
0.51	0.78	45.05	0.78	45.05
0.43	0.12	33.1	0.12	33.1
0.35	0.41	22.68	0.41	22.68
