Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	371.66	78.73	371.66	78.73
8800	333.59	83.97	333.59	83.97
7200	226.65	86.21	226.65	86.21
6000	159.38	83.85	159.38	83.85
5200	42.75	80.31	42.75	80.31
4400	16.63	73.75	16.63	73.75
3600	0.71	78.6	0.71	78.6
3000	4.66	70.22	4.66	70.22
2600	3.49	59.82	3.49	59.82
2200	4.28	59.85	4.28	59.85
1800	0.47	66.69	0.47	66.69
1500	3.04	60.35	3.04	60.35
1300	13.31	67.78	13.31	67.78
1100	9.37	65.77	9.37	65.77
900	11.35	70.02	11.35	70.02
780	8.4	64.82	8.4	64.82
640	46.19	66.18	46.19	66.18
530	55.61	64.68	55.61	64.68
460	54.78	64.79	54.78	64.79
390	51.29	64.29	51.29	64.29
320	47.62	63.79	47.62	63.79
265	45.31	63.39	45.31	63.39
229	42.46	62.58	42.46	62.58
194	39.51	62.32	39.51	62.32
159	36.8	61.36	36.8	61.36
132	34.28	60.29	34.28	60.29
115	32.93	59.65	32.93	59.65
97	29.98	58.57	29.98	58.57
79	28.77	57.49	28.77	57.49
66	26.64	56.01	26.64	56.01
57	26.75	54.9	26.75	54.9
49	24.32	53.35	24.32	53.35
40	24.31	52.5	24.31	52.5
33	24.1	51.5	24.1	51.5
27.5	24.19	50.73	24.19	50.73
22.5	23.38	49.86	23.38	49.86
18.8	23.57	49.06	23.57	49.06
16.2	22.71	48.71	22.71	48.71
13.7	23.89	48.59	23.89	48.59
11.2	20.09	48.07	20.09	48.07
9.4	19.92	47.9	19.92	47.9
8.1	22.22	48	22.22	48
6.9	17.74	47.47	17.74	47.47
5.6	12.13	46.68	12.13	46.68
4.7	9	47.4	9	47.4
4.1	6.44	46.47	6.44	46.47
3.4	5.17	47.51	5.17	47.51
2.81	3.2	45.31	3.2	45.31
2.34	3.36	46.7	3.36	46.7
2.03	1.94	51.44	1.94	51.44
1.72	2.36	47.45	2.36	47.45
1.41	3.17	46.18	3.17	46.18
1.17	2.42	45.08	2.42	45.08
1.02	1.2	44.5	1.2	44.5
0.86	0.98	50.99	0.98	50.99
0.7	0.61	59.33	0.61	59.33
0.59	0.19	16.99	0.19	16.99
0.51	0.31	100.36	0.31	100.36
0.43	0.28	79.61	0.28	79.61
0.35	0.53	50.17	0.53	50.17
